12 July 2001 FINAL A5-0263/2001	12 juillet 2001 FINAL A5-0263/2001
Leitrim is part of an exchange programme between Canadian and US military units.	Leitrim fait partie d'un programme d'échanges entre unités militaires canadiennes et américaines.
According to the Navy, therefore, some 30 persons are stationed in Leitrim.	Selon la Navy, quelque 30 personnes y sont stationnées.
In 1985 the first of four satellite antennae was installed, of which the two larger have a diameter of no more than roughly 12 m (estimate).	En 1985, on y installa la première de quatre antennes satellitaires, dont les deux plus grandes ont un diamètre d'environ 12 mètres seulement (évaluation).
According to official information, the station's task is to provide 'cryptologic rating' and to intercept diplomatic communications.	Officiellement, la mission de la station est le "cryptologic rating" et l'écoute de communications diplomatiques.
Bad Aibling, Germany (12°O, 47°N)	Bad Aibling, Allemagne (12°O, 47°N)
INSCOM (66 th IG, 718 th IG) which has the command, NAVSECGRU, and various AIA groups (402 nd IG, 26 IOG) are stationed in Bad Aibling.	Sont stationnés à Bad Aibling l'INSCOM (66th IG, 718 IG), qui assure le commandement, le NAVSECGRU ainsi que divers groupes de l'AIA (402 nd IG, 26 IOG).
The station has 14 satellite antennae, none of which has a diameter of more than 18 m.	On trouve là 14 antennes satellitaires, dont aucune de plus de 18 mètres.
According to official information, Bad Aibling has the following tasks: 'Rapid Radio Relay and Secure Common, Support to DoD and Unified Commands, Medium and Longhand Common HF & Satellite, Communication Physics Research, Test and Evaluate Common Equipment'.	Officiellement, Bad Aibling accomplit les missions suivantes: "rapid radio relay and secure commo, support to DoD and Unified Commands, medium and longhand commo HF& satellite, communication physics research, test and evaluate commo equipment".
According to Richelson, Bad Aibling is an earth station for SIGINT satellites and a listening station for transmissions from Russian telecommunications satellites.	Selon Richelson, Bad Aibling est une station terrestre pour satellites SIGINT et pour l'interception de satellites de communication russes.
In accordance with a Department of Defense decision, the station is to be closed on 30 September 2002.	Le 30 septembre 2002, la station devrait être fermée, en vertu d'une décision du ministère de la défense.
Personnel will be transferred to other units.	Le personnel serait réparti sur d'autres unités.
Announcement of 31 May 2001 on the INSCOM homepage, http://www.vulcan.belvoir.army.mil/bas_to_close.asp	Communication du 31.5.2001, Homepage d'INSCOM, http://www.vulcan.belvoir.army.mil/bas_to_close.asp.
Ayios Nikolaos, Cyprus (32°O, 35°N)	Ayios Nikolaos, Chypre (32°O, 35°N)
Ayios Nilolaos on Cyprus is a British station.	Ayios Nikolaos (Chypre) est une station britannique.
The station's location, close to the Arab states, and the fact that Ayios Nikolaos is the only station sited within certain footprints (above all spot beams) in this area, point to its having an important role in intelligence gathering.	Sa proximité par rapport aux États arabes et le fait qu'elle est la seule station à être située à l'intérieur de plusieurs zones de couverture (notamment des spot beams ) de la région donnent à penser que la station de Ayios Nikolaos joue un rôle important en matière d'obtention de renseignements.
Shoal Bay, Australia (134°O, 13°S)	Shoal Bay, Australie (134°O, 13°S)
Shoal Bay is a station run solely by the Australian Intelligence Service.	Shoal Bay est une station desservie uniquement par le service australien de renseignements.
The station reportedly has 10 satellite antennae; no official information is available regarding their size.	La station compterait dix antennes satellitaires, dont les dimensions ne sont pas précisées.
Of the satellite antennae visible on photographs, the five larger ones have a maximum diameter of 8 m, and the sixth antenna visible is smaller still.	D'après des photographies, les cinq plus grandes ont un diamètre de 8 mètres maximum, et la sixième que l'on peut voir a un diamètre encore inférieur.
According to information provided by Richelson, the antennae are trained on the Indonesian PALAPA satellites.	Selon Richelson, les antennes sont orientées vers les satellites PALAPA indonésiens.
Guam was established in 1898.	Guam existe depuis 1898.
It now houses a Naval Computer and Telecommunications Station manned by the 544 th IG of the AIA and Navy soldiers.	Elle abrite aujourd'hui une Naval Computer and Telecommunication Station, où sont stationnés le 544 th IG de la AIA ainsi que des soldats de la Navy.
The station has at least four satellite antennae, two of which have a diameter of roughly 15 m.	La station compte au moins 4 antennes satellitaires, dont 2 de 15 m de diamètre.
This station has been operated by NAVSECGRU and the AIA since 1993 as a Regional Security Operations Centre (RSOC).	Depuis 1993, cette station est un Regional Security Operation Center (RSOC), desservi par le NAVSECGRU et l'AIA.
Its tasks include the provision of information and communications and cryptological support.	Elle a notamment pour missions la mise à disposition d'informations et de communications, ainsi que le soutien cryptologique.
Its broader role is not clear.	La fonction de Kunia demeure peu claire.
Buckley Field, Denver, Colorado, USA (104°W, 40°N)	Buckley Field, États-Unis, Denver Colorado (104°O, 40°N)
The site houses at least six satellite antennae, four of which have a diameter of roughly 20 m.	La station compte environ cinq antennes satellitaires, dont quatre d'un diamètre d'environ 20 mètres.
The station's official task is to collect, process and analyse data about nuclear events obtained by SIGINT satellites.	Officiellement, la station a pour mission de collecter, d'exploiter et d'analyser des données obtenues grâce à des satellites SIGINT concernant les phénomènes nucléaires.
Medina Annex, Texas, USA (98°W, 29°N)	Medina Annex, États-Unis, Texas (98°O, 29°N)
Like Kunia, Medina, which was established in 1993, is an RSOC operated by NAVSECGRU and AIA units with tasks in the Caribbean.	Tout comme Kunia, Medina – créée en 1993 – est un Regional Security Operation Center, qui est desservi par le NAVSECGRU et des unités de l'AIA.
Fort Gordon (81°W, 31°N)	Fort Gordon (81°O, 31°N)
Fort Meade, USA (76°W, 39°N)	Fort Meade, États-Unis (76°O, 39°N)
Ford Meade is the headquarters of the NSA.	Fort Meade est le quartier général de la NSA.
